tbl,year,qtr,region_name,prj_id,prj_title,prjpis_countries_of_destination,usa,canada,aus,ph,eu,asia,middle_east,total_exporters
ByQtr,2021,1,CALABARZON,271,"Upgrading of the Production Process of Golden J Siopao",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,316,"Improvement of Pizza Production of Chef Ary and Ky&#039;s Pizzeria and Resto",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,345,"Enhancing the Production Capability of Sweet Solutions  Bakeshop thru Acquisition of Modern Baking Equipment",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,351,"Upgrading of Existing Equipment fro Roasted Corn Powder Production of Adelet&#039;s Food Products",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,357,"Adoption of New Technology and Upgrading of Existing Equipment for Donut Production of MJ and PJ Bakeshop",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,366,"Bottling Process Improvement in Barako Coffee and Native White Ginger Liqueur Production",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,382,"Strengthening the Production Capability and Marketing Potential of Dolly&#039;s Banana Chips",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,418,"Technology Enhancement of the Production Capabilities of Obiena Enterprises Co. by Investing on Modern Production Equipment",local-Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,419,"Improvement of the Production Process of Advent Soy Beanery",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,448,"Modernization of the Production Process of Farmtec Foods, Inc.",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,495,"Mechanization of Production Processes of Siony&#039;s Pili Tarts and Pastillas",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,505,"Printing Production and Quality Improvement for 60-B Cyberstation",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,521,"IMPROVEMENT OF PRODUCTION EFFICIENCY, PRODUCT QUALITY AND SAFETY OF COMPLEMENTARY FOODS PRODUCED BY LGU-MULANAY",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,522,"UPGRADING THE PRODUCTION PROCESS AND PRODUCTS OF SILI GROWERS ASSOCIATION",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,524,"Establishment of Drying Facility for the Local Government Unit of Panukulan",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,568,"Improvement of PRoduction Capacity of Delfa&#039;s Food Products, Inc.",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,617,"AUGMENTING PRODUCTION PROCESS OF MAGIFRANCE BAKESHOP THROUGH MECHANIZATION",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,632,"ADOPTION OF DOST-FNRI TECHNOLOGY ON TUBIG TALINO (IODINE-RICH DRINKING WATER AND “WATER PLUS + I2”) FOR CBL BLUEWATERS WATER REFILLING STATION",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,648,"IMPROVEMENT OF THE PRODUCTION FACILITY, PRODUCT QUALITY AND SAFETY OF JOMALIG FOOD PROCESSORS ASSOCIATION",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,667,"Product and Process Innovation for Mabini Tablea Food Producers (MABLEA) in Mabini, Batangas",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,733,"IMPROVEMENT OF PROCESS AND QUALITY OF CASSAVA FLAKES/ CRACKERS AND BANANA CHIPS OF SAMAHAN NG KABABAIHAN NG ALABAT PARA SA PANGKABUHAYAN (SANGKAP)",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,736,"IMPROVEMENT OF TAILORING OPERATION OF RAYMOND TAILORING",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,756,"UPGRADING THE PEANUT BUTTER PROCESSING FACILITY OF YAKAP AT HALIK MPC BATANGAS 1 IN CALATAGAN, BATANGAS THROUGH EQUIPMENT ACQUISITION",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,757,"EQUIPMENT ACQUISITION FOR THE MUSHROOM PROCESSING FACILITY OF FARMWAIZ FAMILY FOR LIFE AGRICULTURE COOPERATIVE IN ALITAGTAG, BATANGAS",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,785,"PRODUCT AND PROCESS IMPROVEMENT OF TAYSAN MOVEMENT FOR PEACE, PROGRESS AND CHANGES (TMPPC) GINGER PROCESSING FACILITY IN TAYSAN, BATANGAS",N/A,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,786,"UPGRADING OF BULSA MPC PRODUCTION FACILITY THROUGH EQUIPMENT ACQUISITION",,0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,788,"UPGRADING THE CAPABILITY OF THE COFFEE PROCESSING FACILITY OF AGA FARMERS MULTI-PURPOSE COOPERATIVE (AGFAMCO) IN NASUGBU, BATANGAS",Philippines,0,0,0,1,0,0,0,1
ByQtr,2021,1,CALABARZON,791,"Modernization of Packaging Process of AC Innov8 Manufacturing Co. through Upgrading of Equipment","NO EXPORTED PRODUCTS",0,0,0,0,0,0,0,0
ByQtr,2021,1,CALABARZON,891,"EQUIPMENT ACQUISITION FOR PEANUT PROCESSING FACILITY FOR CARRETONAN MULTI-PURPOSE COOPERATIVE (CMPC) IN CALATAGAN, BATANGAS",N/A,0,0,0,0,0,0,0,0
